,Unnamed: 0,Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
781,259,43,1,450,43
782,215,43,1,450,43
783,1054,43,1,450,43
784,1392,43,1,450,43
785,503,43,1,450,43
786,1090,43,1,450,43
787,1245,43,1,450,43
788,1282,43,1,450,43
789,933,43,1,450,43
790,1284,43,1,450,43
791,432,43,1,450,43
792,1466,43,1,450,43
793,252,43,1,450,43
794,383,43,1,450,43
795,1434,43,1,450,43
796,776,43,1,450,43
797,45,43,1,450,43
798,1378,43,1,450,43
799,865,43,1,450,43
800,618,43,1,450,43
801,637,43,1,450,43
802,932,43,1,450,43
803,160,43,2,900,50
804,436,43,2,900,50
805,1097,43,1,450,43
806,493,43,1,450,43
807,730,44,2,900,50
808,622,44,1,450,44
809,229,44,2,900,49
810,497,44,1,450,44
811,283,44,2,900,50
812,1458,44,2,900,49
813,558,44,2,900,50
814,74,44,1,450,44
815,833,44,1,450,44
816,1201,44,2,900,50
817,369,45,1,450,45
818,992,45,1,450,45
819,1209,45,1,450,45
820,970,45,1,450,45
821,172,45,1,450,45
822,117,45,1,450,45
823,1509,45,1,450,45
824,763,45,1,450,45
825,1080,45,1,450,45
826,1325,45,1,450,45
827,135,45,2,900,50
828,219,45,1,450,45
829,1404,45,1,450,45
830,397,45,2,900,50
831,273,45,2,900,50
832,42,45,1,450,45
833,1437,45,1,450,45
834,930,45,2,900,50
835,391,45,2,900,50
836,905,45,2,900,50
837,1269,45,1,450,45
838,640,45,1,450,45
839,342,45,2,900,50
840,610,45,1,450,45
841,192,45,2,900,50
842,1015,45,1,450,45
843,243,49,1,450,49
844,367,49,1,450,49
845,496,49,1,450,49
846,1263,49,1,450,49
847,415,49,1,450,49
848,1066,49,1,450,49
849,107,49,1,450,49
850,941,50,1,450,50
851,728,50,1,450,50
852,1331,50,1,450,50
853,393,50,1,450,50
854,275,50,1,450,50
855,53,50,1,450,50
856,1403,50,1,450,50
857,1407,50,1,450,50
858,515,50,1,450,50
859,727,50,1,450,50
860,568,50,1,450,50
861,1283,50,1,450,50
862,1497,50,1,450,50
863,1199,50,1,450,50
864,1467,50,1,450,50
865,61,50,1,450,50
866,258,50,1,450,50
867,43,50,1,450,50
868,1226,50,1,450,50
869,439,50,1,450,50
870,813,50,1,450,50
871,817,50,1,450,50
872,366,50,1,450,50
873,325,50,1,450,50
874,1070,50,1,450,50
875,835,50,1,450,50
876,940,50,1,450,50
877,847,50,1,450,50
878,347,50,1,450,50
879,554,50,1,450,50
880,8,50,1,450,50
881,630,50,1,450,50
882,1391,50,1,450,50
883,495,50,1,450,50
884,674,50,1,450,50
885,1168,50,1,450,50
886,1433,50,1,450,50
887,92,50,1,450,50
888,1152,50,1,450,50
889,73,50,1,450,50
890,1021,50,1,450,50
891,821,50,1,450,50
892,573,50,1,450,50
893,253,50,1,450,50
894,510,50,1,450,50
895,974,50,1,450,50
896,805,50,1,450,50
897,140,50,1,450,50
898,431,50,1,450,50
899,1459,50,1,450,50
900,83,50,1,450,50
901,1162,50,1,450,50
902,774,50,1,450,50
